null,455 bài t?p c?u trúc d? li?u cài ??t b?ng C++,"John R, Hubbard, Minh Trung, Gia Vi?t (d?ch)",Sách giáo trình,CNTT,CN1,http://data.lib.hutech.edu.vn/BookImg/10201.jpg,"Hà N?i :Th?ng Kê, 2003, Tái b?n l?n 8",2F,123,91000
null,C?u trúc d? li?u & các ??i t??ng khác s? d?ng C++,"M, Main, W, Savitch, D??ng Quang Thi?n (biên d?ch)",Sách giáo trình,CNTT,CN1,http://data.lib.hutech.edu.vn/BookImg/875.jpg,"Tp.HCM :Th?ng Kê, 2000, In l?n th? 1",2F,54,70000
null,C?u trúc d? li?u,Nguy?n Trung Tr?c,Sách giáo trình,CNTT,CN1,http://data.lib.hutech.edu.vn/BookImg/474.jpg,"Tp.HCM :?H Bách Khoa Thành ph? H? Chí Minh 1997, In l?n th? 1",2F,38,55000
null,Computer viruses and other malicious software : a threat to the Internet economy,Organisation for Economic Co-operation and Development,Sách tham kh?o,CNTT,,http://data.lib.hutech.edu.vn/BookImg/137299.jpg,"Paris :OECD, 2009",2E,7,140000
null,"Cyber operations : building, defending, and attacking modern computer networks / Mike O'Leary.",Organisation for Economic Co-operation and Development,Sách tham kh?o,CNTT,,http://data.lib.hutech.edu.vn/BookImg/104924.jpg,"[Berkeley, CA] :Apress, 2015,",2E,6,135000
null,Giáo trình bài t?p ngôn ng? l?p trình C ,"T?ng Kim Quang, Nguy?n Công Bình; Lê Minh Trung",Sách giáo trình,CNTT,CN1,http://data.lib.hutech.edu.vn/BookImg/265.jpg,"Hà N?i : Th?ng Kê,  1999",2F,44,47000
null,Absolute beginner's guide to databases ,[John V. Petersen],Sách tham kh?o,CNTT,CN1,http://data.lib.hutech.edu.vn/BookImg/42459.jpg,"Indianapolis, Ind. : Que,  2002",2E,12,130000
null,Bài t?p c? s? d? li?u ,"Nguy?n Xuân Huy, Lê Hoài B?c.",Sách giáo trình,CNTT,,http://data.lib.hutech.edu.vn/BookImg/100436.jpg,"Hà N?i : Thông tin và truy?n thông,  2011",2F,12,140000
null,Beginning database design ,Clare Churcher ; [foreword by Ste?phane Faroult],Sách tham kh?o,CNTT,CN1,http://data.lib.hutech.edu.vn/BookImg/34898.jpg,"Berkeley, CA : New York : Apress ; Distributed to the book trade worldwide by Springer-Verlag New York,  2007",2E,32,135000
null,C? s? d? li?u,Cao Tùng Anh.,Sách giáo trình,CNTT,,http://data.lib.hutech.edu.vn/BookImg/8782.jpg,Tp.HCM : HUTECH  2008,2F,25,47000
null,C? s? d? li?u: giáo trình nh?p môn,Ph??ng Lan,Sách giáo trình,CNTT,CN1,http://data.lib.hutech.edu.vn/BookImg/24828.jpg,"Hà N?i : Lao ??ng - Xã h?i ,  2007",2F,16,130000
null,Bài t?p l?p trình h??ng ??i t??ng v?i C, Nguy?n Thanh Th?y,Sách giáo trình,CNTT,CN1,http://data.lib.hutech.edu.vn/BookImg/2142.jpg,"Hà N?i :Khoa h?c và K? Thu?t , 2001, In l?n th? 1",2F,7,140000
null,C# 2005 : T3 - L?p trình h??ng ??i t??ng,"Ph?m H?u Khang ch? biên, Hoàng ??c H?i, Tr?n Ti?n D?ng, ,",Sách giáo trình,CNTT,CN1,http://data.lib.hutech.edu.vn/BookImg/19206.jpg,"Hà N?i :Lao ??ng - Xã h?i, 2008, In l?n th? 1",2F,63,140000
null,C?u trúc máy tính c? b?n, VN - Guide,Sách giáo trình,CNTT,,http://data.lib.hutech.edu.vn/BookImg/1834.jpg,"Tp.HCM :Th?ng Kê, 2001, In l?n th? 1",2F,34,135000
null,C?u trúc máy tính nâng cao, VN - Guide,Sách giáo trình,CNTT,,http://data.lib.hutech.edu.vn/BookImg/1846.jpg,"Tp.HCM :Th?ng Kê, 2001, In l?n th? 2",2F,43,47000
null,Giáo trình L?p trình Web b?ng ASP 3.0 ,"Ph?m H?u Khang ch? biên, Hoàng ??c H?i, Tr?n Ti?n D?ng, ,",Sách giáo trình,CNTT,CN1,http://data.lib.hutech.edu.vn/BookImg/10353.jpg,"Tp.HCM : Lao ??ng - Xã h?i,  2005",2F,12,130000
null,L?p trình ?ng d?ng web,"Mai Ng?c Thu, Nguy?n ?ình Ánh.",Sách giáo trình,CNTT,CN1,http://data.lib.hutech.edu.vn/BookImg/gthutech.jpg,TP.HCM : HUTECH  2018,2F,14,140000
null,L?p trình web v?i HTML và Javascript ,Ph?m Th? Nhung,Sách giáo trình,CNTT,CN1,http://data.lib.hutech.edu.vn/BookImg/72238.jpg,TP.HCM : ??i h?c Qu?c gia Thành ph? H? Chí Minh  2008,2F,15,135000
null,Semantic web programming ,John Hebeler ... [et al.].,Sách tham kh?o,CNTT,CN1,http://data.lib.hutech.edu.vn/BookImg/144394.jpg," ndianapolis, IN : Wiley,  2009",2E,11,140000
null,A practical guide to content delivery networks," Gilbert Held, ,",Sách tham kh?o,CNTT,,http://data.lib.hutech.edu.vn/BookImg/71579.jpg,"Boca Raton :CRC Press, 2011, 2nd ed.",2E,11,135000
null,Absolute beginner's guide to networking,Joseph W Habraken ch? biên.,Sách tham kh?o,CNTT,,http://data.lib.hutech.edu.vn/BookImg/6773.jpg,"Indianapolis : Que,  2004",2E,11,47000
null,CCNA Cisco certified network associate study guide ,Todd Lammle.,Sách tham kh?o,CNTT,,http://data.lib.hutech.edu.vn/BookImg/71184.jpg,"San Francisco : Sybex,  2002",2E,11,130000
null,B?o m?t và t?i ?u hóa Linux Red Hat,"H?ng Phúc, Nguy?n Ng?c Tu?n, ,",Sách giáo trình,CNTT,,http://data.lib.hutech.edu.vn/BookImg/12736.jpg,"Tp.HCM :Th?ng Kê, 2005, In l?n th? 1",2F,11,140000
null,Giáo trình l?p trình Java,"Hu?nh Ng?c Tín, Nguy?n Trác Th?c, Tôn Th?t Hòa An (biên so?n); Hoàng Ki?m (hi?u ?ính)",Sách giáo trình,CNTT,,http://data.lib.hutech.edu.vn/BookImg/18806.jpg,Tp.HCM : ??i h?c Qu?c gia Thành ph? H? Chí Minh  2007,2F,11,135000
null,Cad trong ?i?n & ?i?n t? vi ?i?u khi?n và ?ng d?ng ,"Lê Ng?c Bích, Ph?m Quang Huy.",Sách giáo trình,CNTT,CN2,http://data.lib.hutech.edu.vn/BookImg/116357.jpg,"Hà N?i : Bách khoa Hà N?i,  2016",2A,11,47000
null,"CAD trong k? thu?t ?i?n tính toán thi?t k? ch?ng sét - chi?u sáng m?ng ?i?n ??ng l?c v?i - Benji, Luxicon, Ecodial ",Phùng Th? Nguy?t,Sách giáo trình,CNTT,CN2,http://data.lib.hutech.edu.vn/BookImg/18496.jpg,"Hà N?i : Bách khoa Hà N?i,  2017",2A,11,130000
null,250 bài t?p k? thu?t ?i?n t?,Nguy?n Thanh Trà,Sách giáo trình,CNTT,CN2,http://data.lib.hutech.edu.vn/BookImg/41874.jpg,"Hà N?i : Giáo d?c Vi?t Nam ,  2010",2A,11,140000
null,Báo hi?u kênh chung s? 7 ?ng d?ng CSDL7 trong h? th?ng vi?n thông ,Lê Th? H?ng Hu?,?? án TN,CNTT,CN2,http://data.lib.hutech.edu.vn/BookImg/luanvan.jpg,Tp.HCM : HUTECH  1999,2B,12,140000
null,C? s? k? thu?t siêu cao t?n,Ki?u Kh?c Lâu.,Sách giáo trình,CNTT,CN2,http://data.lib.hutech.edu.vn/BookImg/239.jpg,"Hà N?i : Giáo d?c Vi?t Nam ,  1998",2A,13,135000
null,Ham radio for dummies ,Silver H. Ward.,Sách tham kh?o,CNTT,CN2,http://data.lib.hutech.edu.vn/BookImg/13076.jpg,"[k?] : Wiley Pub.,  2004",2A,14,47000
null,M?ng truy?n thông công nghi?p,Hoàng Minh S?n.,Sách giáo trình,CNTT,CN2,http://data.lib.hutech.edu.vn/BookImg/10480.jpg,"Hà N?i : Khoa h?c và K? Thu?t ,  2006",2B,15,130000
null,Introduction to applied statistical signal analysis : guide to biomedical and electrical engineering applications,Richard Shiavi.,Sách tham kh?o,CNTT,CN2,http://data.lib.hutech.edu.vn/BookImg/Default.jpg,"Amsterdam : Academic Press,  2007",2A,15,140000
null,Advanced mathematical tools for automatic control engineers [electronic resource],Alexander S. Poznyak.,Sách tham kh?o,CNTT,CN3,http://data.lib.hutech.edu.vn/BookImg/79477.jpg," Amsterdam ; New York : Elsevier,  2008",2A,15,135000
null,Bài t?p ?i?u khi?n t? ??ng,"Nguy?n Th? Ph??ng Hà, ,",Sách giáo trình,CNTT,CN3,http://data.lib.hutech.edu.vn/BookImg/142859.jpg,"TP.HCM :??i h?c Qu?c gia TP.HCM, 2005,",2B,15,47000
null,"C?u t?o h? th?ng truy?n l?c ô tô con : h? th?ng truy?n l?c hi?n ??i h? th?ng truy?n l?c ?i?u khi?n t? ??ng (AT), h? th?ng truy?n l?c ô tô hai c?u ch? ??ng (4WD, AWD)",,Sách giáo trình,CNTT,CN3,http://data.lib.hutech.edu.vn/BookImg/21286.jpg,"Hà N?i : Khoa h?c và K? Thu?t ,  1999",2B,16,140000
null,C? ?i?n t? : T? thi?t k? l?p ráp 57 m?ch ?i?n thông minh," Tr?n Th? San, T?ng V?n Mùi.",Sách giáo trình,CNTT,CN3,http://data.lib.hutech.edu.vn/BookImg/19225.jpg,"Hà N?i : Khoa h?c và K? Thu?t ,  2008",2A,17,135000
