null,455 bài tập cấu trúc dữ liệu cài đặt bằng C++,"John R, Hubbard, Minh Trung, Gia Việt (dịch)",Sách giáo trình,CNTT,CN1,http://data.lib.hutech.edu.vn/BookImg/10201.jpg,"Hà Nội :Thống Kê, 2003, Tái bản lần 8",2F,123,91000,1
null,Cấu trúc dữ liệu & các đối tượng khác sử dụng C++,"M, Main, W, Savitch, Dương Quang Thiện (biên dịch)",Sách giáo trình,CNTT,CN1,http://data.lib.hutech.edu.vn/BookImg/875.jpg,"Tp.HCM :Thống Kê, 2000, In lần thứ 1",2F,54,70000,2
null,Cấu trúc dữ liệu,Nguyễn Trung Trực,Sách giáo trình,CNTT,CN1,http://data.lib.hutech.edu.vn/BookImg/474.jpg,"Tp.HCM :ĐH Bách Khoa Thành phố Hồ Chí Minh 1997, In lần thứ 1",2F,38,55000,3
null,Computer viruses and other malicious software : a threat to the Internet economy,Organisation for Economic Co-operation and Development,Sách tham khảo,CNTT,,http://data.lib.hutech.edu.vn/BookImg/137299.jpg,"Paris :OECD, 2009",2E,7,140000,4
null,"Cyber operations : building, defending, and attacking modern computer networks / Mike OLeary.",Organisation for Economic Co-operation and Development,Sách tham khảo,CNTT,,http://data.lib.hutech.edu.vn/BookImg/104924.jpg,"[Berkeley, CA] :Apress, 2015,",2E,6,135000,5
null,Giáo trình bài tập ngôn ngữ lập trình C ,"Tăng Kim Quang, Nguyễn Công Bình; Lê Minh Trung",Sách giáo trình,CNTT,CN1,http://data.lib.hutech.edu.vn/BookImg/265.jpg,"Hà Nội : Thống Kê,  1999",2F,44,47000,6
null,Absolute beginners guide to databases ,[John V. Petersen],Sách tham khảo,CNTT,CN1,http://data.lib.hutech.edu.vn/BookImg/42459.jpg,"Indianapolis, Ind. : Que,  2002",2E,12,130000,7
null,Bài tập cơ sở dữ liệu ,"Nguyễn Xuân Huy, Lê Hoài Bắc.",Sách giáo trình,CNTT,,http://data.lib.hutech.edu.vn/BookImg/100436.jpg,"Hà Nội : Thông tin và truyền thông,  2011",2F,12,140000,8
null,Beginning database design ,Clare Churcher ; [foreword by Stéphane Faroult],Sách tham khảo,CNTT,CN1,http://data.lib.hutech.edu.vn/BookImg/34898.jpg,"Berkeley, CA : New York : Apress ; Distributed to the book trade worldwide by Springer-Verlag New York,  2007",2E,32,135000,9
null,Cơ sở dữ liệu,Cao Tùng Anh.,Sách giáo trình,CNTT,,http://data.lib.hutech.edu.vn/BookImg/8782.jpg,Tp.HCM : HUTECH  2008,2F,25,47000,10
null,Cơ sở dữ liệu: giáo trình nhập môn,Phương Lan,Sách giáo trình,CNTT,CN1,http://data.lib.hutech.edu.vn/BookImg/24828.jpg,"Hà Nội : Lao động - Xã hội ,  2007",2F,16,130000,11
null,Bài tập lập trình hướng đối tượng với C, Nguyễn Thanh Thủy,Sách giáo trình,CNTT,CN1,http://data.lib.hutech.edu.vn/BookImg/2142.jpg,"Hà Nội :Khoa học và Kỹ Thuật , 2001, In lần thứ 1",2F,7,140000,12
null,C# 2005 : T3 - Lập trình hướng đối tượng,"Phạm Hữu Khang chủ biên, Hoàng Đức Hải, Trần Tiến Dũng, ,",Sách giáo trình,CNTT,CN1,http://data.lib.hutech.edu.vn/BookImg/19206.jpg,"Hà Nội :Lao động - Xã hội, 2008, In lần thứ 1",2F,63,140000,13
null,Cấu trúc máy tính cơ bản, VN - Guide,Sách giáo trình,CNTT,,http://data.lib.hutech.edu.vn/BookImg/1834.jpg,"Tp.HCM :Thống Kê, 2001, In lần thứ 1",2F,34,135000,14
null,Cấu trúc máy tính nâng cao, VN - Guide,Sách giáo trình,CNTT,,http://data.lib.hutech.edu.vn/BookImg/1846.jpg,"Tp.HCM :Thống Kê, 2001, In lần thứ 2",2F,43,47000,15
null,Giáo trình Lập trình Web bằng ASP 3.0 ,"Phạm Hữu Khang chủ biên, Hoàng Đức Hải, Trần Tiến Dũng, ,",Sách giáo trình,CNTT,CN1,http://data.lib.hutech.edu.vn/BookImg/10353.jpg,"Tp.HCM : Lao động - Xã hội,  2005",2F,12,130000,16
null,Lập trình ứng dụng web,"Mai Ngọc Thu, Nguyễn Đình Ánh.",Sách giáo trình,CNTT,CN1,http://data.lib.hutech.edu.vn/BookImg/gthutech.jpg,TP.HCM : HUTECH  2018,2F,14,140000,17
null,Lập trình web với HTML và Javascript ,Phạm Thị Nhung,Sách giáo trình,CNTT,CN1,http://data.lib.hutech.edu.vn/BookImg/72238.jpg,TP.HCM : Đại học Quốc gia Thành phố Hồ Chí Minh  2008,2F,15,135000,18
null,Semantic web programming ,John Hebeler ... [et al.].,Sách tham khảo,CNTT,CN1,http://data.lib.hutech.edu.vn/BookImg/144394.jpg," ndianapolis, IN : Wiley,  2009",2E,11,140000,19
